model_name,suggestion_rank,suggestion_text,your_score_1_to_5
lemmatized_cbow_window2_dim100,1,feck bet penalti favor real madrid,
lemmatized_cbow_window2_dim100,2,unusual behavior real madrid pearl,
lemmatized_cbow_window2_dim100,3,shameful behavior real madrid,
lemmatized_cbow_window2_dim100,4,penalti favor del real madrid,
lemmatized_cbow_window2_dim100,5,generational headloss real madrid bench,
lemmatized_cbow_window2_dim300,1,feck bet penalti favor real madrid,
lemmatized_cbow_window2_dim300,2,shameful behavior real madrid,
lemmatized_cbow_window2_dim300,3,unusual behavior real madrid pearl,
lemmatized_cbow_window2_dim300,4,generational headloss real madrid bench,
lemmatized_cbow_window2_dim300,5,penalti favor del real madrid,
lemmatized_cbow_window4_dim100,1,feck bet penalti favor real madrid,
lemmatized_cbow_window4_dim100,2,ffs real madrid pathetic,
lemmatized_cbow_window4_dim100,3,real madrid becoming donald trump,
lemmatized_cbow_window4_dim100,4,unusual behavior real madrid pearl,
lemmatized_cbow_window4_dim100,5,generational headloss real madrid bench,
lemmatized_cbow_window4_dim300,1,feck bet penalti favor real madrid,
lemmatized_cbow_window4_dim300,2,ffs real madrid pathetic,
lemmatized_cbow_window4_dim300,3,real madrid becoming donald trump,
lemmatized_cbow_window4_dim300,4,real madrid collapse insane,
lemmatized_cbow_window4_dim300,5,nah real madrid probaly,
lemmatized_skipgram_window2_dim100,1,feck bet penalti favor real madrid,
lemmatized_skipgram_window2_dim100,2,anagram real madrid riled drama,
lemmatized_skipgram_window2_dim100,3,real madrid collapse insane,
lemmatized_skipgram_window2_dim100,4,real madrid becoming donald trump,
lemmatized_skipgram_window2_dim100,5,typical real madrid whiny bullshit,
lemmatized_skipgram_window2_dim300,1,feck bet penalti favor real madrid,
lemmatized_skipgram_window2_dim300,2,real madrid collapse insane,
lemmatized_skipgram_window2_dim300,3,anagram real madrid riled drama,
lemmatized_skipgram_window2_dim300,4,real madrid becoming donald trump,
lemmatized_skipgram_window2_dim300,5,typical real madrid whiny bullshit,
lemmatized_skipgram_window4_dim100,1,feck bet penalti favor real madrid,
lemmatized_skipgram_window4_dim100,2,anagram real madrid riled drama,
lemmatized_skipgram_window4_dim100,3,real madrid collapse insane,
lemmatized_skipgram_window4_dim100,4,real madrid rattled lololol,
lemmatized_skipgram_window4_dim100,5,realjilling real madrid fucker,
lemmatized_skipgram_window4_dim300,1,feck bet penalti favor real madrid,
lemmatized_skipgram_window4_dim300,2,anagram real madrid riled drama,
lemmatized_skipgram_window4_dim300,3,real madrid collapse insane,
lemmatized_skipgram_window4_dim300,4,amazing work rate real madrid front 3 real madrid tv,
lemmatized_skipgram_window4_dim300,5,thats real madrid effect,
stemmed_cbow_window2_dim100,1,feck bet penalti favor real madrid,
stemmed_cbow_window2_dim100,2,penalti favor del real madrid,
stemmed_cbow_window2_dim100,3,penalti al favor del real madrid,
stemmed_cbow_window2_dim100,4,penalty al favor del real madrid,
stemmed_cbow_window2_dim100,5,amazing work rate real madrid front 3 real madrid tv,
stemmed_cbow_window2_dim300,1,feck bet penalti favor real madrid,
stemmed_cbow_window2_dim300,2,penalti favor del real madrid,
stemmed_cbow_window2_dim300,3,penalti al favor del real madrid,
stemmed_cbow_window2_dim300,4,penalty al favor del real madrid,
stemmed_cbow_window2_dim300,5,real madrid looking ref anger eye,
stemmed_cbow_window4_dim100,1,feck bet penalti favor real madrid,
stemmed_cbow_window4_dim100,2,penalti favor del real madrid,
stemmed_cbow_window4_dim100,3,penalti al favor del real madrid,
stemmed_cbow_window4_dim100,4,real madrid looking ref anger eye,
stemmed_cbow_window4_dim100,5,real madrid ref pressuring tactic worked,
stemmed_cbow_window4_dim300,1,feck bet penalti favor real madrid,
stemmed_cbow_window4_dim300,2,penalti favor del real madrid,
stemmed_cbow_window4_dim300,3,bu bu thought ref real madrid according,
stemmed_cbow_window4_dim300,4,real madrid looking ref anger eye,
stemmed_cbow_window4_dim300,5,real madrid ref pressuring tactic worked,
stemmed_skipgram_window2_dim100,1,feck bet penalti favor real madrid,
stemmed_skipgram_window2_dim100,2,penalti favor del real madrid,
stemmed_skipgram_window2_dim100,3,penalti al favor del real madrid,
stemmed_skipgram_window2_dim100,4,real madrid var,
stemmed_skipgram_window2_dim100,5,pen getting given faster real madrid paying ref,
stemmed_skipgram_window2_dim300,1,feck bet penalti favor real madrid,
stemmed_skipgram_window2_dim300,2,penalti favor del real madrid,
stemmed_skipgram_window2_dim300,3,penalti al favor del real madrid,
stemmed_skipgram_window2_dim300,4,real madrid var,
stemmed_skipgram_window2_dim300,5,pen getting given faster real madrid paying ref,
stemmed_skipgram_window4_dim100,1,feck bet penalti favor real madrid,
stemmed_skipgram_window4_dim100,2,real madrid var,
stemmed_skipgram_window4_dim100,3,pen getting given faster real madrid paying ref,
stemmed_skipgram_window4_dim100,4,penalti favor del real madrid,
stemmed_skipgram_window4_dim100,5,florentino allows review favor madrid,
stemmed_skipgram_window4_dim300,1,feck bet penalti favor real madrid,
stemmed_skipgram_window4_dim300,2,real madrid var,
stemmed_skipgram_window4_dim300,3,penalti favor del real madrid,
stemmed_skipgram_window4_dim300,4,pen getting given faster real madrid paying ref,
stemmed_skipgram_window4_dim300,5,penalti al favor del real madrid,
